Hotel Name,Price,Review Score
Le Meridien Cairo Airport,"EGP 35,314",Scored 8.9
Novotel Cairo Airport,"EGP 20,705",Scored 7.6
Dusit Thani LakeView Cairo,"EGP 54,652",Scored 8.7
مساكن الزهور,"EGP 9,196",N/A
Hilton Cairo Grand Nile,"EGP 27,917",Scored 8.0
جراند بريمير,"EGP 13,137",Scored 8.0
Cairo Downtown Prime Stays - Two bedroom Private apartment,"EGP 7,425",N/A
Pyramids X Hotel,"EGP 4,966",Scored 10
Sheraton Cairo Hotel & Casino,"EGP 37,967",Scored 8.8
Seven Heaven pyramids,"EGP 10,613",Scored 8.6
Rakan Stay,"EGP 5,499",N/A
"Marriott Mena House, Cairo","EGP 183,399",Scored 8.8
Hotel Flamenco Cairo,"EGP 19,387",Scored 8.0
Fairmont Nile City,"EGP 44,405",Scored 8.4
Pyramisa Suites Hotel Cairo,"EGP 20,947",Scored 8.5
Ramses Hilton Hotel & Casino,"EGP 25,684",Scored 8.4
Pyramids fort,"EGP 331,065",Scored 6.8
السفارات بمدينه نصر للخدمات الفندقيه,"EGP 6,030",Scored 9.5
Cairo Marriott Hotel,"EGP 40,201",Scored 8.5
"Radisson Blu Hotel, Cairo Heliopolis","EGP 23,009",Scored 7.9
Sonesta Hotel Tower & Casino Cairo,"EGP 19,580",Scored 8.3
Logistics 5 Stars,"EGP 21,992",Scored 8.1
Atlas International Hotels,"EGP 9,616",Scored 8.1
Ocean Blue Studios,"EGP 16,450",Scored 8.2
Royal Inn Residence New Cairo,"EGP 9,790",Scored 8.3
